,0
649299,2205.9169838376265
765045,2205.9169838376265
405078,2205.9169838376265
633068,2205.9169838376265
206408,2205.9169838376265
515845,2205.9169838376265
641244,2205.9169838376265
723311,2205.9169838376265
781493,2205.9169838376265
417625,2205.9169838376265
492790,2205.9169838376265
671920,2205.9169838376265
231250,2192.9464378125303
463001,2192.9464378125303
600878,2160.981681726297
229799,2160.981681726297
68157,2160.981681726297
355916,2160.981681726297
729036,2160.981681726297
479881,2160.981681726297
540486,2160.981681726297
772338,2160.981681726297
415267,2160.981681726297
42966,2160.981681726297
839628,2160.981681726297
409986,2160.981681726297
472756,2160.981681726297
496742,2160.981681726297
25543,2160.981681726297
653631,2160.981681726297
546856,2160.981681726297
499323,2160.981681726297
326251,2160.981681726297
7380,2160.981681726297
534732,2160.981681726297
628302,2160.981681726297
632265,2160.981681726297
200786,2160.981681726297
414783,2160.981681726297
612061,2032.209464761058
14457,2032.209464761058
434266,1995.1829179165697
223140,1995.1829179165697
495322,1982.2123718914734
661640,1979.9379190473962
247221,1979.9379190473962
539596,1979.9379190473962
394450,1979.3104252119997
25065,1972.568979969711
768744,1960.2055269728107
555059,1957.6631523833287
428334,1957.6631523833287
453486,1942.4946599221578
466055,1942.4946599221578
139538,1942.4946599221578
782053,1942.4946599221578
776084,1942.4946599221578
761221,1942.4946599221578
212344,1942.4946599221578
774040,1942.4946599221578
634979,1942.4946599221578
423540,1942.4946599221578
683289,1942.4946599221578
520058,1942.4946599221578
602266,1942.4946599221578
540093,1942.4946599221578
480245,1942.4946599221578
651449,1942.4946599221578
94879,1942.4946599221578
849524,1942.4946599221578
248126,1942.4946599221578
370457,1942.4946599221578
781282,1942.4946599221578
2495,1942.4946599221578
120730,1941.0029738524352
87760,1933.0260784199795
1698,1872.2299045832463
434890,1852.3379394118676
543898,1852.3379394118676
76611,1852.3379394118676
420153,1814.6120717355182
689937,1787.331841228732
733153,1787.331841228732
27332,1777.1752787074488
690369,1755.3174054703484
423095,1704.3510057001417
145275,1704.3510057001417
149882,1704.3510057001417
544725,1704.3510057001417
639071,1696.487139699337
4055,1694.481198005461
783884,1674.6292664622365
365708,1674.6292664622365
758474,1674.6292664622365
69964,1653.868221136576
712106,1653.868221136576
635744,1643.2510356202274
616575,1643.2510356202274
542966,1605.2786995660908
596390,1591.6693305100505
341953,1584.1857417422693
36359,1584.1857417422693
279026,1584.1857417422693
348899,1578.317629596075
432781,1566.136235682215
542517,1566.136235682215
141376,1566.136235682215
396876,1566.136235682215
350597,1566.136235682215
619480,1547.2253479674332
525744,1501.8397161281152
529403,1478.3719409099112
629871,1478.3719409099112
191959,1478.3719409099112
6162,1462.0162133651863
291428,1423.0417940707835
62323,1422.466829883544
714419,1369.2307258044345
719003,1369.2307258044345
525868,1369.2307258044345
531978,1369.2307258044345
777957,1369.2307258044345
159450,1369.2307258044345
249740,1369.2307258044345
134312,1369.2307258044345
427847,1369.2307258044345
89883,1369.2307258044345
461043,1369.2307258044345
692612,1369.2307258044345
764450,1369.2307258044345
41492,1369.2307258044345
828256,1369.2307258044345
647646,1369.2307258044345
729697,1369.2307258044345
571808,1369.2307258044345
231407,1369.2307258044345
795294,1369.2307258044345
775409,1369.2307258044345
169112,1369.2307258044345
