,product,value,customer
594,"['36298290', '36298206', '36298416', '36298381', '36298262', '35609273', '36298395', '36298220', '35609252', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 108.49303078002146, 74.32099497492224, 69.3529172733598, 55.602139549229754, 37.96969474836661]",480245
595,"['36298416', '36298290', '36298395', '36298381', '36298262', '36298220', '36298206', '36298122']","[1083.2951539054807, 931.4924342516136, 798.6553118277213, 584.8409267290149, 419.75899230552, 408.8396852381886, 341.64604831728474, 151.99817684579284]",276612
596,"['32078830', '32476192', '32078802', '32842551', '32078795', '32078970', '32079103', '32078935']","[632.4118090777264, 559.0926091472996, 509.91262997998035, 273.4956226625291, 231.00431297009112, 57.526631009814786, 25.65671892200126, 1.1354281836515119]",206408
597,"['32988396', '31618475', '32988382', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 77.11479993801223]",787772
598,"['32078830', '32078802', '32842551', '32078795', '32078970', '32078935', '32079103']","[780.0825847850617, 587.9303412019748, 328.64813942743154, 272.8778474957213, 191.44276881610836, 45.986274830583326, 25.65671892200126]",499323
599,"['36298290', '36298206', '36298416', '36298381', '36298262', '36298395', '36298220', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 74.32099497492224, 69.3529172733598, 6.4213161425461545]",651449
600,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '32988396', '36298381', '31618475', '31618321', '32988382']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 634.7881591196956, 584.8409267290149, 420.09703990130134, 257.0363812253069, 254.2146554359113]",780938
601,"['35662452', '31047450', '31047415', '31047520', '31047492']","[34.505553090471324, 31.941530432333607, 27.531580101500445, 27.114171748061022, 7.910277495538107]",233097
602,"['31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",395896
603,['32981935'],[130.3509040171219],476617
604,"['35662704', '35662641', '35662452']","[210.10323277647228, 185.0683652466133, 64.23476115039806]",214827
605,"['32988396', '31618475', '32988382', '34129942']","[417.3825972664224, 227.73869121851487, 135.90600890982168, 77.11479993801223]",768326
606,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",819171
607,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",131796
608,"['32078830', '32078802', '32842551', '32078970']","[374.8372656119832, 254.2441279941481, 42.837897641664355, 13.252786966340373]",46193
609,"['32988396', '31618475', '32988382', '31618300']","[412.5500204507784, 257.16660441745756, 203.04169765374783, 2.376759216964381]",302055
610,"['36298290', '36298206', '36298416', '32981935', '36298381', '36298262', '36298395', '36298220']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 130.3509040171219, 120.5542163488181, 115.18241155595084, 74.32099497492224, 69.3529172733598]",428334
611,"['31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",712901
612,"['32981935', '34130894', '34798386']","[130.3509040171219, 128.34496232324597, 25.533094827835328]",20945
613,"['35662704', '35662641', '31047520', '35662452', '31047492', '31047450', '31047415', '31047464']","[210.10323277647228, 185.0683652466133, 87.731985454361, 64.23476115039806, 61.92253052534606, 48.595294241035994, 27.531580101500445, 23.290491077536526]",639748
614,"['34798386', '32988396', '31618321', '31618475', '32988382', '34130894']","[546.1220631222034, 417.3825972664224, 257.0363812253069, 227.73869121851487, 135.90600890982168, 128.34496232324597]",279026
615,['34798386'],[25.533094827835328],491971
616,['35609245'],[6.4213161425461545],188798
617,['34798386'],[25.533094827835328],390293
618,"['32078830', '32078802', '32476192', '32842551', '32078795', '32078970', '32078935', '32079103']","[780.0825847850617, 587.9303412019748, 559.0926091472996, 328.64813942743154, 272.8778474957213, 191.44276881610836, 45.986274830583326, 25.65671892200126]",801656
619,"['31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",495813
620,"['36298416', '36298395', '36298290', '32078802', '36298262', '36298220', '32078970', '36298206', '36298381', '32476192', '32078830']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 827.3627254565821, 756.5477647131631, 697.6727245029272, 682.2102925851468, 645.8047030281339, 584.8409267290149, 559.0926091472996, 374.8372656119832]",362102
621,"['34798386', '35662704', '35662641', '34130894', '35662452']","[546.1220631222034, 210.10323277647228, 185.0683652466133, 128.34496232324597, 64.23476115039806]",101796
622,"['35662704', '35662641', '31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[210.10323277647228, 185.0683652466133, 87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",663616
623,"['32988396', '31618475', '32988382', '34129942', '31618300']","[412.5500204507784, 257.16660441745756, 203.04169765374783, 77.11479993801223, 2.376759216964381]",46039
624,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 6.4213161425461545]",718420
625,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",15723
626,"['34798386', '32988396', '31618475', '32988382', '34130894', '34129942', '31618300']","[546.1220631222034, 412.5500204507784, 257.16660441745756, 203.04169765374783, 128.34496232324597, 77.11479993801223, 2.376759216964381]",619480
627,"['32988396', '31618475', '32988382', '31047520', '35662452', '31047450', '31047415', '31047492', '31618300']","[412.5500204507784, 257.16660441745756, 203.04169765374783, 39.14246388387581, 34.505553090471324, 31.941530432333607, 27.531580101500445, 7.910277495538107, 2.376759216964381]",753422
628,"['32988396', '31618475', '32988382', '34129942', '31618300']","[412.5500204507784, 257.16660441745756, 203.04169765374783, 77.11479993801223, 2.376759216964381]",138236
629,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",636600
630,"['34130894', '34798386', '35074081']","[128.34496232324597, 25.533094827835328, 7.836897681426502]",587992
631,"['36298206', '36298290', '36298416', '36298381', '36298220', '36298262', '36298395']","[594.5667014569935, 375.4677387170732, 167.78769704519127, 120.5542163488181, 69.3529172733598, 30.012466821708426, 18.86316287631953]",461716
632,"['32988396', '31618475', '35984452', '31618321', '32988382', '35609245']","[634.7881591196956, 420.09703990130134, 286.2017037296525, 257.0363812253069, 254.2146554359113, 6.4213161425461545]",543898
633,['32078830'],[406.43274428749595],827139
634,"['32078830', '32078802', '32842551', '32078795', '32078970', '32079103', '32078935']","[632.4118090777264, 509.91262997998035, 273.4956226625291, 231.00431297009112, 57.526631009814786, 25.65671892200126, 1.1354281836515119]",721590
635,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '36298381', '35609273', '35609252', '35609245']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 120.5542163488181, 108.49303078002146, 55.602139549229754, 6.4213161425461545]",551686
636,['35662641'],[33.56605200789042],60591
637,"['34798386', '34130894']","[546.1220631222034, 128.34496232324597]",53046
638,"['31618321', '32988382', '32988396', '31618475']","[257.0363812253069, 135.90600890982168, 132.89327860660381, 18.299975396457285]",314268
639,"['36298290', '36298206', '36298416', '36298381', '36298262', '36298395', '36298220', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 74.32099497492224, 69.3529172733598, 6.4213161425461545]",94879
640,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '36298381', '35609273', '35609252', '35609245']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 120.5542163488181, 108.49303078002146, 55.602139549229754, 37.96969474836661]",628726
641,"['31047520', '31047492', '31047450', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 23.290491077536526]",31057
642,"['36298220', '36298206', '36298416', '36298290', '36298381', '35609273', '35609252', '35609245', '36298262', '36298395']","[670.479582489042, 594.5667014569935, 581.9012585327861, 375.4677387170732, 120.5542163488181, 108.49303078002146, 55.602139549229754, 37.96969474836661, 30.012466821708426, 18.86316287631953]",677678
643,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284]",810324
644,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",654885
645,['35074081'],[7.836897681426502],605623
646,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '32981935', '36298381', '35609273', '35609252', '35609245']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 130.3509040171219, 120.5542163488181, 108.49303078002146, 55.602139549229754, 37.96969474836661]",24286
647,"['34798386', '35984452', '34130894']","[546.1220631222034, 286.2017037296525, 128.34496232324597]",350681
648,"['32981935', '35609273', '35609252', '35609245']","[130.3509040171219, 108.49303078002146, 55.602139549229754, 6.4213161425461545]",341132
