,product,value,customer
1055,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",101104
1056,"['31047450', '31047464', '32078970']","[73.77258451199832, 52.34917005095697, 22.946484874586204]",566135
1057,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",5094
1058,"['32078802', '32078795', '32842551', '32078970', '32078935', '31047450']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183, 36.52506843159224]",642670
1059,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",499242
1060,"['32078802', '32078795', '32842551', '32079082', '32078970', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 81.51421243336533, 22.946484874586204, 3.8743391493146437]",873311
1061,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 272.0252261069808, 253.01601183589494, 118.35782439901915, 18.210682594912296]",667886
1062,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",14433
1063,['32988382'],[88.98763597402909],216063
1064,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",633029
1065,"['32078802', '32078970', '32078795', '32842551']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788]",495508
1066,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",692817
1067,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",794243
1068,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",712520
1069,"['32078802', '32078970', '32078795', '32842551']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788]",587965
1070,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",447091
1071,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",704954
1072,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",423316
1073,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",763479
1074,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 678.9605673147175, 159.24688011896038]",42646
