,product,value,customer
30,"['32078970', '32078795', '35609273', '32842551', '35609252']","[528.9564844490574, 117.72593926855643, 85.28509666770042, 83.09635618345413, 34.788990684693694]",354587
31,['36298381'],[283.57762730470984],695006
32,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",774145
33,"['32988382', '31618475', '35609273', '32078795', '35609252']","[132.63339987139267, 89.84182140016723, 85.28509666770042, 40.017786856513304, 34.788990684693694]",33536
34,"['36298381', '32078970', '32842551', '32078935', '32078795']","[283.57762730470984, 179.82504180651014, 179.63390130187565, 46.630957100973724, 40.017786856513304]",220189
35,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",555196
36,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",95043
37,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",725355
38,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",535163
39,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",73838
40,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",757986
41,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",520472
42,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",858819
43,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",345412
44,['36298381'],[283.57762730470984],567130
45,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",796129
46,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",88009
47,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",145354
48,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",657208
49,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",534067
50,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",443667
51,['36298381'],[283.57762730470984],446008
52,['36298381'],[283.57762730470984],265466
53,"['36298381', '31047450', '31047464']","[283.57762730470984, 50.04485816878652, 40.49780994595678]",694308
54,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",140911
55,"['32078970', '31618321', '31618475', '32988382', '32078795', '32842551', '34129942', '31618405']","[528.9564844490574, 410.0400223199819, 222.9675327068517, 209.9403676644521, 117.72593926855643, 83.09635618345413, 52.49113365886005, 33.91712771021427]",605751
56,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",664665
57,['32078970'],[19.940030652670576],803476
58,"['32078970', '32078795', '32842551', '32079082', '32078935']","[528.9564844490574, 117.72593926855643, 83.09635618345413, 11.309078758771438, 1.8983611955475592]",190125
59,"['32078795', '32078970', '32842551', '32078935', '32079082']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724, 11.309078758771438]",47821
60,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",395187
61,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",534029
62,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",698543
