,customer_id,Recency,Frequency,Monetary,CLASS,CHURN,sentiment
62,78474,66,4,530.3299999999999,SILVER,1,1
63,899488,20,4,407.54,SILVER,0,-1
64,99142,47,4,222.28,SILVER,1,1
65,816372,11,4,415.38,SILVER,1,1
66,498846,68,4,1106.12,SILVER,1,1
67,871597,3,4,229.12,SILVER,0,1
68,781118,28,4,412.26,SILVER,1,1
69,854710,25,4,372.79,SILVER,1,0
70,306890,21,4,254.23,SILVER,1,-1
71,84923,27,4,557.19,SILVER,1,1
72,901654,5,4,369.39,SILVER,0,1
73,323469,4,4,821.55,SILVER,1,1
74,467142,0,4,284.47,SILVER,1,-1
75,419339,59,4,312.34,SILVER,1,1
76,178821,19,4,313.82,SILVER,1,1
77,673110,1,4,347.9800000000001,SILVER,1,1
78,682062,20,4,372.42,SILVER,1,1
79,828613,0,4,732.0799999999999,SILVER,0,1
80,837691,5,4,255.76,SILVER,1,1
81,34983,55,4,299.4,SILVER,1,1
82,764406,5,4,656.61,SILVER,1,0
83,46792,65,4,255.23,SILVER,1,1
84,77033,72,4,401.92,SILVER,1,0
85,868913,19,4,294.39,SILVER,1,1
86,860246,11,4,434.9,SILVER,1,1
87,92094,52,4,236.33,SILVER,1,1
88,843840,25,4,256.81000000000006,SILVER,1,1
89,514226,22,4,1447.19,SILVER,1,-1
90,854117,35,4,286.86999999999995,SILVER,1,0
91,533290,18,4,357.77,SILVER,1,1
92,841385,20,4,368.55,SILVER,1,1
93,361978,44,4,377.59,SILVER,1,1
94,606860,67,4,892.0,SILVER,1,0
95,333506,66,4,586.71,SILVER,1,1
96,670162,73,4,348.62,SILVER,1,0
97,823762,18,4,2173.8,SILVER,0,-1
98,677632,27,4,455.59,SILVER,1,0
99,632764,51,4,598.4,SILVER,1,0
100,31816,44,4,391.09,SILVER,0,1
101,560518,40,4,896.8800000000001,SILVER,1,-1
102,138562,66,4,496.0700000000001,SILVER,1,1
103,688387,20,4,279.51,SILVER,0,1
104,23456,39,4,286.95,SILVER,0,0
105,102460,32,4,236.31,SILVER,1,1
106,486397,32,4,695.89,SILVER,0,1
107,876776,27,4,1551.6699999999998,SILVER,0,1
108,19153,10,4,235.41000000000005,SILVER,0,0
109,574856,59,4,421.15,SILVER,0,0
110,259105,5,4,754.8600000000001,SILVER,0,0
111,755531,46,4,257.86,SILVER,0,1
112,765184,52,4,307.47,SILVER,0,-1
113,366961,35,4,302.29,SILVER,0,1
114,786346,23,4,738.96,SILVER,0,1
115,715761,43,4,233.80000000000004,SILVER,0,1
116,690532,45,4,409.73,SILVER,0,0
117,785491,58,4,398.12,SILVER,0,1
118,771672,58,4,284.25000000000006,SILVER,0,1
119,807504,74,4,624.1700000000001,SILVER,1,1
120,799213,5,4,655.3,SILVER,0,1
121,817747,53,4,346.66,SILVER,0,1
122,89645,6,4,573.61,SILVER,0,0
123,729973,32,4,361.98,SILVER,0,0
124,699813,10,4,593.48,SILVER,0,1
125,770792,26,4,609.5099999999999,SILVER,0,0
126,824345,40,4,272.42,SILVER,0,-1
127,570948,47,4,694.19,SILVER,0,1
128,736690,3,4,575.8100000000001,SILVER,0,1
129,691798,1,4,559.1999999999999,SILVER,0,1
130,812742,19,4,548.0899999999999,SILVER,0,1
131,663190,49,4,409.4699999999999,SILVER,0,1
132,521688,5,4,310.93999999999994,SILVER,0,1
133,824836,57,4,423.3,SILVER,0,0
134,580438,65,4,582.55,SILVER,0,1
135,301456,51,4,431.29,SILVER,0,1
136,3684,26,4,640.55,SILVER,0,1
137,761972,21,4,327.5,SILVER,0,0
138,776241,19,4,1692.46,SILVER,0,1
139,807079,51,4,422.84,SILVER,0,1
140,754157,55,4,316.79,SILVER,0,1
141,538407,60,4,240.22000000000003,SILVER,0,1
142,731258,51,4,1212.89,SILVER,0,-1
143,809096,13,4,257.27,SILVER,0,1
144,744851,58,4,297.89,SILVER,0,1
145,799677,36,4,227.29,SILVER,0,1
146,49510,7,4,429.51,SILVER,0,1
147,745339,20,4,872.1800000000001,SILVER,0,1
148,640875,34,4,312.49,SILVER,0,1
149,781242,11,4,365.54,SILVER,0,1
150,113283,43,4,701.25,SILVER,0,1
151,776435,23,4,259.77,SILVER,0,1
152,758243,37,4,554.4,SILVER,0,-1
153,557118,63,4,429.69,SILVER,0,0
154,751887,31,4,327.68000000000006,SILVER,0,1
155,520183,58,4,222.02,SILVER,0,0
156,739205,55,4,256.75,SILVER,0,0
157,827770,47,4,395.06,SILVER,0,1
158,655961,23,4,687.4700000000001,SILVER,0,1
159,808922,37,4,839.9300000000001,SILVER,0,1
160,51610,26,4,1257.78,SILVER,0,1
161,573606,27,4,273.30999999999995,SILVER,1,0
162,308961,61,4,555.1899999999999,SILVER,1,1
163,658446,72,4,341.9,SILVER,1,1
164,705691,72,5,314.98,SILVER,1,0
165,696151,10,5,1370.0199999999998,SILVER,1,1
166,903292,5,4,282.1500000000001,SILVER,0,-1
167,618856,23,4,2232.43,SILVER,1,1
